"","Number.of.Vehicles","Accident.Date","Time..24hr.","X1st.Road.Class","Road.Surface","Lighting.Conditions","Daylight.Dark","Weather.Conditions","Type.of.Vehicle","Casualty.Class","Casualty.Severity","Sex.of.Casualty","Age.of.Casualty"
"1",2,2017-01-01,2120,"U","Wet/Damp","Darkness: Street Lights Present::On","Dark","Raining, no high winds",9,2,2,"Female",16
"2",2,2017-01-04,1500,"U","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,2,"Female",67
"3",2,2017-01-05,732,"A58","Wet/Damp","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,1,3,"Male",56
"4",2,2017-01-05,930,"A646","Wet/Damp","Daylight: Street Lights Present","Daylight","Fine, no high winds",4,1,1,"Male",20
"5",2,2017-01-14,909,"U","Frost/Ice","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",46
"6",1,2017-01-15,1659,"U","Wet/Damp","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,3,3,"Male",NA
"7",1,2017-01-16,1059,"A646","Wet/Damp","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,3,"Female",25
"8",3,2017-01-19,1849,"B6138","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,1,3,"Female",50
"9",1,2017-01-20,1408,"U","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,3,"Female",64
"10",1,2017-01-22,1325,"A58","Wet/Damp","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",22
"11",2,2017-01-24,1126,"A629","Wet/Damp","Daylight: Street Lights Present","Daylight","Raining, no high winds",9,2,3,"Female",21
"12",2,2017-01-24,1830,"A641","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,1,3,"Male",29
"13",2,2017-01-25,1258,"U","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",24
"14",3,2017-01-26,1133,"A672","Wet/Damp","Daylight: Street Lights Present","Daylight","Fine, no high winds",19,1,3,"Male",29
"15",1,2017-01-26,1546,"A6033","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,3,"Male",5
"16",1,2017-01-27,1335,"U","Ice","Daylight: Street Lights Present","Daylight","Fine, no high winds",19,3,3,"Female",14
"17",2,2017-01-27,1405,"U","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",33
"18",2,2017-01-27,2233,"U","Wet/Damp","Darkness: Street Lights Present::On","Dark","Raining, no high winds",9,1,3,"Male",28
"19",2,2017-01-27,1835,"U","Wet/Damp","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,1,3,"Male",NA
"20",1,2017-01-29,1430,"U","Wet/Damp","Daylight: Street Lights Present","Daylight","Raining, high winds",9,3,3,"Female",27
"21",2,2017-01-29,2230,"U","Wet/Damp","Darkness: Street Lights Present::On","Dark","Fog or Mist - if hazard",9,1,3,"Female",60
"22",1,2017-01-30,1444,"U","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",8,3,3,"Male",50
"23",2,2017-01-31,1435,"A58","Wet/Damp","Daylight: Street Lights Present","Daylight","Raining, no high winds",9,1,3,"Female",40
"24",2,2017-01-31,1840,"U","Wet/Damp","Darkness: Street Lights Present::Off","Dark","Raining, no high winds",9,1,2,"Female",115
"25",2,2017-02-01,1400,"A6139","Wet/Damp","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",48
"26",2,2017-02-02,1045,"U","Wet/Damp","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",76
