"","Casualty.Class","Age.of.Casualty","Weather.Conditions","Type.of.Vehicle","Casualty.Severity"
"1",2,16,2,9,2
"2",3,67,1,9,2
"3",1,56,1,9,3
"4",1,20,1,4,1
"5",1,46,1,9,3
"6",3,32,1,9,3
"7",3,25,1,9,3
"8",1,50,1,9,3
"9",3,64,1,9,3
"10",1,22,1,9,3
"11",2,21,2,9,3
"12",1,29,1,9,3
"13",1,24,1,9,3
"14",1,29,1,19,3
"15",3,5,1,9,3
"16",3,14,1,19,3
"17",1,33,1,9,3
"18",1,28,2,9,3
"19",1,38,1,9,3
"20",3,27,5,9,3
"21",1,60,7,9,3
"22",3,50,1,8,3
"23",1,40,2,9,3
"24",1,115,2,9,2
"25",1,48,1,9,3
"26",1,76,1,9,3
"27",1,22,1,9,3
"28",3,14,1,9,3
"29",1,26,1,9,2
"30",1,65,1,19,3
"31",3,32,1,9,3
"32",1,51,1,9,3
"33",1,67,1,9,3
"34",1,28,1,9,3
"35",1,34,1,9,3
"36",3,14,1,9,3
"37",3,13,1,9,3
"38",3,76,1,9,2
"39",3,45,1,3,3
"40",1,30,1,9,3
"41",1,35,3,9,3
"42",1,57,6,9,3
"43",1,26,3,9,3
"44",1,24,1,9,3
"45",1,68,1,9,2
"46",1,53,1,9,3
"47",3,11,1,9,3
"48",1,25,1,9,3
"49",3,39,1,8,2
"50",1,19,2,9,3
"51",1,74,2,9,3
"52",2,21,1,9,3
"53",1,30,2,3,2
"54",3,59,4,9,3
"55",2,17,1,9,3
"56",1,35,1,9,2
"57",1,46,1,9,3
"58",1,18,1,9,3
"59",2,48,1,9,3
"60",2,8,1,9,3
"61",1,53,1,9,3
"62",3,50,2,9,3
"63",3,45,1,21,3
"64",1,43,4,9,3
"65",1,22,1,9,3
"66",1,21,5,9,3
"67",1,57,1,9,3
"68",3,83,1,9,3
"69",2,19,1,9,3
"70",3,13,2,9,3
"71",1,46,1,9,3
"72",2,3,1,9,3
"73",1,40,1,2,2
"74",1,25,1,9,3
"75",1,29,1,19,3
"76",3,2,1,9,3
"77",1,48,1,9,2
"78",3,9,1,9,3
"79",1,34,1,9,3
"80",1,52,1,10,3
"81",2,9,1,9,3
"82",1,68,1,9,3
"83",1,26,1,9,2
"84",1,35,1,5,3
"85",1,18,1,9,3
"86",2,63,1,9,3
"87",1,45,1,9,3
"88",3,23,1,11,3
"89",1,29,1,19,3
"90",3,47,1,9,3
"91",1,42,1,9,3
"92",3,46,1,9,3
"93",1,58,1,9,2
"94",1,5,1,9,3
"95",1,29,1,9,3
"96",1,29,1,19,3
"97",2,17,2,8,3
"98",1,25,1,1,3
"99",1,33,1,9,3
"100",1,23,1,9,3
"101",1,59,1,9,3
"102",1,39,1,9,3
"103",1,20,1,9,3
"104",3,35,1,9,2
"105",1,14,1,1,3
"106",1,18,1,3,3
"107",1,21,1,1,2
"108",1,25,1,8,3
"109",3,33,1,9,3
"110",1,17,1,9,2
"111",1,78,1,9,3
"112",3,2,1,9,2
"113",1,44,1,9,3
"114",3,29,1,9,3
"115",1,22,1,9,3
"116",1,40,1,9,2
"117",1,23,1,9,3
"118",3,75,1,9,3
"119",2,36,1,9,3
"120",1,58,1,9,3
"121",1,39,1,9,3
"122",3,36,1,9,2
"123",1,28,1,9,3
"124",3,6,1,9,2
"125",2,44,1,8,3
"126",1,18,2,21,3
"127",1,23,5,9,3
"128",1,18,5,9,3
"129",1,75,1,9,3
"130",3,65,1,9,3
"131",1,63,1,9,3
